Source,Material,Environment,Temperature (°C),Salinity (g/L),pH,Dissolved Oxygen (mg/L),Chloride Concentration (ppm),Open Circuit Potential (mV),Polarization Resistance (Ω·cm²),Corrosion Rate (µm/year),Corrosion Potential (mV),Passivation Range (V),Pitting Potential (V),Corrosion Products,Exposure Zone,Weld Type,Image Label
IJMS,BVDH36,Natural Seawater (Black Sea),25.0,35.0,8.1,6.5,19000.0,-676 ± 12,1733.77,87,-904.2,0.68,-0.25,"Fe₂O₃, Fe₃O₄",Immersion,Not Specified,
IJMS,LRAH36,Natural Seawater (Black Sea),25.0,35.0,8.1,6.5,19000.0,-676.18 ± 35,1208.63,146.64,-925.6,0.46,-0.37,"Fe₂O₃, γ‑FeO(OH)",Immersion,Not Specified,
Mendeley,Steel C,Accelerated Chamber,23.076723421160814,37.68554014306309,7.675330269889338,7.567587635107106,5580.611814263005,-913.2957917136317,1677.9229019485588,167.07435613191313,-764.6184124707216,0.4426912698091105,-0.05854686543126936,γ‑FeO(OH),Tidal,Arc,
Mendeley,Steel A,Accelerated Chamber,16.29784494217963,30.436037717544338,7.51716110183175,4.586419286768102,4895.861241623973,-691.9081778671633,2070.673682282989,91.63807589441271,-664.73095005914,0.5434566556600795,-0.24196048977819168,α‑Fe,Immersion,Arc,
Mendeley,Steel C,Accelerated Chamber,20.078308278686894,39.94550510797341,8.26336442300391,6.053304674769572,5777.406350724171,-886.2006425334147,2349.5011679382596,83.01458211216456,-775.668236271148,0.6823861876405386,-0.04674314027770998,α‑Fe,Immersion,MIG,
Mendeley,Steel C,Lab Seawater,19.937521256772023,34.69944513990943,8.306912977050779,4.932912289698111,6219.9041434922665,-752.6122177934072,1936.1523162727563,81.90211765118394,-926.4886100295015,0.5230408942284726,-0.21434052904021295,Fe₃O₄,Atmospheric,TIG,
Mendeley,Steel A,Accelerated Chamber,28.926085456795768,32.795603417967584,7.8463043210894,6.32522166890713,4937.3253311530725,-655.7515049427241,1809.6715928719495,127.2760523610219,-808.163169190309,0.596993105048325,-0.1689439949467177,Fe₂O₃,Tidal,TIG,
Mendeley,Steel A,Accelerated Chamber,29.24541179848884,38.83494022266259,7.964673812939611,7.452554087956015,17686.192682104655,-918.7784849507804,1658.1170130825085,196.33119735241343,-775.8872871070383,0.6427134601439151,-0.22811054600130037,Fe₂O₃,Tidal,Arc,
Mendeley,Steel C,Lab Seawater,17.961738599068,37.47718773897414,8.149773682642763,7.521439874553668,15382.983511272345,-762.6325525945667,1866.2294063591885,118.84834820255196,-697.9290964286965,0.5121008659272392,-0.06775355984632575,Fe₂O₃,Splash,TIG,
Mendeley,Steel B,Accelerated Chamber,34.95480970097884,39.530718470239535,7.548058924197034,4.946740774728315,1891.0328880331786,-868.3742559575696,1533.0436777275938,133.5958053335072,-912.6974444549639,0.45609023399291865,-0.13304504052314914,Fe₂O₃,Tidal,None,
Mendeley,Steel C,Lab Seawater,20.335620285505698,33.307503046705136,8.449145731591386,7.630774825394186,6104.77715848084,-829.9755975026089,1587.223165302253,179.09480268361008,-900.9935114688428,0.7259992267174697,-0.23936984390979255,α‑Fe,Tidal,Arc,
